pdf,png,qualification,institution,date,link
pdf/um_applied_plotting_charting_and_data_representation_in_python.pdf,png/um_applied_plotting_charting_and_data_representation_in_python.png,"Applied Plotting, Charting, and Data Representation in Python",University of Michigan,01/24/2025,https://www.coursera.org/account/accomplishments/certificate/AKKTY52VDW18
pdf/um_applied_machine_learning_in_python.pdf,png/um_applied_machine_learning_in_python.png,Applied Machine Learning in Python,University of Michigan,02/11/2025,https://www.coursera.org/account/accomplishments/certificate/SZC4MCKRTSTY
pdf/um_applied_text_mining_in_python.pdf,png/um_applied_text_mining_in_python.png,Applied Text Mining in Python,University of Michigan,02/17/2025,https://www.coursera.org/account/accomplishments/certificate/QMQIIO8XRY3H
pdf/um_applied_social_network_analysis_in_python.pdf,png/um_applied_social_network_analysis_in_python.png,Applied Social Network Analysis in Python,University of Michigan,03/01/2025,https://www.coursera.org/account/accomplishments/certificate/DEW3HGVMQCZ4
pdf/machine_learning.pdf,png/machine_learning.png,Machine Learning,Stanford University,07/12/2021,https://www.coursera.org/account/accomplishments/verify/PJR998U5VR7C
pdf/tensor_flow_2_for_deep_learning.pdf,png/tensor_flow_2_for_deep_learning.png,TensorFlow 2 for Deep Learning Specialization,Imperial College London,12/27/2021,https://www.coursera.org/account/accomplishments/specialization/UZTB4ZA9PA8H
pdf/getting_started_with_tensorflow_2.pdf,png/getting_started_with_tensorflow_2.png,Getting Started with TensorFlow 2,Imperial College London,09/20/2021,https://www.coursera.org/account/accomplishments/certificate/L2BFK9ZKPX39
pdf/customising_your_models_with_tensorflow_2.pdf,png/customising_your_models_with_tensorflow_2.png,Customizing your Models with TensorFlow 2,Imperial College London,10/29/2021,https://www.coursera.org/account/accomplishments/certificate/LK9B5325PERQ
pdf/probabilistic_deep_learning_with_tensorflow_2.pdf,png/probabilistic_deep_learning_with_tensorflow_2.png,Probabilistic Deep Learning with TensorFlow 2,Imperial College London,12/27/2021,https://www.coursera.org/account/accomplishments/certificate/9GL4SVNCJRGR
pdf/GeoPandasCertification.pdf,png/GeoPandasCertification.png,GeoPandas Certification,Modern GIS,04/27/2025,https://moderngis.xyz/certificates/075daabdd0be20cc07d105357979d6b1/
pdf/modern_gis_QGIS_certification.pdf,png/modern_gis_QGIS_certification.png,QGIS Certification,Modern GIS,05/05/2025,https://moderngis.xyz/certificates/094a3c897b4c613635bfc155e76ddf7d/
pdf/mathematics_for_machine_learning.pdf,png/mathematics_for_machine_learning.png,Mathematics for Machine Learning Specialization,Imperial College London,08/11/2021,https://www.coursera.org/account/accomplishments/specialization/WS43GV8U9F59
pdf/mathematics_for_machine_leaning_linear_algebra.pdf,png/mathematics_for_machine_leaning_linear_algebra.png,Mathematics for Machine Learning: Linear Algebra,Imperial College London,07/30/2021,https://www.coursera.org/account/accomplishments/certificate/2HT9T46AXJV3
pdf/mathematics_for_machine_learning_multivariate_calculus.pdf,png/mathematics_for_machine_learning_multivariate_calculus.png,Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,08/08/2021,https://www.coursera.org/account/accomplishments/certificate/AL7B8T5QGPF3
pdf/mathematics_for_machine_learning_pca.pdf,png/mathematics_for_machine_learning_pca.png,Mathematics for Machine Learning: PCA,Imperial College London,08/11/2021,https://www.coursera.org/account/accomplishments/certificate/CL4QBLSPBLEH
pdf/uocb_algebra_and_differential_calculus_for_data_science.pdf,png/uocb_algebra_and_differential_calculus_for_data_science.png,Algebra and Differential Calculus for Data Science,University of Colorado Boulder,03/06/2025,https://www.coursera.org/account/accomplishments/verify/0ONACSD9LCX2
pdf/snowflake_cloud_data_platform.pdf,png/snowflake_cloud_data_platform.png,Snowflake Cloud Data Platform: Getting Started,Edureka,06/05/2024,https://www.coursera.org/account/accomplishments/verify/UMHBPNYU3QDX
pdf/data_engineering_project_build_streaming_ingestion_pipelines_for_snowflake_with_aws.pdf,png/data_engineering_project_build_streaming_ingestion_pipelines_for_snowflake_with_aws.png,Data Engineering Project: Build Streaming Ingestion Pipelines for Snowflake with AWS,LinkedIn,03/25/2024,https://www.linkedin.com/learning/certificates/8b3c64e3203407358d11cfabd6f0c056c207817484525eaa96e22f44fb98fc08?trk=share_certificate
pdf/choosing_a_database_postgresql_mysql_mongo_and_cloud.pdf,png/choosing_a_database_postgresql_mysql_mongo_and_cloud.png,"Choosing a Database: PostgreSQL, MySQL, Mongo, and Cloud",LinkedIn,04/19/2024,https://www.linkedin.com/learning/certificates/24e730c8ee3342edc5823b5cf9f020553f550b959895ba4abbb31e71e6e14162?trk=share_certificate
pdf/advanced_python_practical_database_examples.pdf,png/advanced_python_practical_database_examples.png,Advanced Python: Practical Database Examples,LinkedIn,07/12/2024,https://www.linkedin.com/learning/certificates/fbe73a1cc0597ba4cce881a27e6aba2ab644c24a325ebf985cb1fbaf80557229?trk=share_certificate
pdf/advanced_sql_for_application_development.pdf,png/advanced_sql_for_application_development.png,Advanced SQL for Application Development,LinkedIn,07/30/2024,https://www.linkedin.com/learning/certificates/1720a784229a42265e12f8fe75215434e8985d503cd489a04e5a66415115e9a9?trk=share_certificate
pdf/building_restful_apis_with_flask.pdf,png/building_restful_apis_with_flask.png,Building RESTful APIs with Flask,LinkedIn,07/30/2024,https://www.linkedin.com/learning/certificates/6fc395b190b2398fe1c77710873553fdb12d25294ca503d4f04a12112987ffa4?trk=share_certificate
